pressure	temperature	H2	He
100.0	1400.0	0.85	0.15
68.66488450043002	1400.0	0.85	0.15
47.14866363457394	1400.0	0.85	0.15
32.374575428176435	1400.0	0.85	0.15
22.229964825261955	1400.0	0.85	0.15
15.264179671752334	1400.0	0.85	0.15
10.481131341546858	1400.0	0.85	0.15
7.196856730011521	1400.0	0.85	0.15
4.941713361323836	1400.0	0.85	0.15
3.39322177189533	1400.0	0.85	0.15
2.329951810515373	1400.0	0.85	0.15
1.599858719606059	1400.0	0.85	0.15
1.0985411419875584	1400.0	0.85	0.15
0.7543120063354622	1400.0	0.85	0.15
0.5179474679231213	1400.0	0.85	0.15
0.3556480306223132	1400.0	0.85	0.15
0.24420530945486524	1400.0	0.85	0.15
0.16768329368110083	1400.0	0.85	0.15
0.11513953993264481	1400.0	0.85	0.15
0.07906043210907701	1400.0	0.85	0.15
0.05428675439323865	1400.0	0.85	0.15
0.037275937203149416	1400.0	0.85	0.15
0.025595479226995385	1400.0	0.85	0.15
0.01757510624854793	1400.0	0.85	0.15
0.012067926406393288	1400.0	0.85	0.15
0.008286427728546842	1400.0	0.85	0.15
0.005689866029018305	1400.0	0.85	0.15
0.003906939937054621	1400.0	0.85	0.15
0.002682695795279727	1400.0	0.85	0.15
0.0018420699693267163	1400.0	0.85	0.15
0.0012648552168552983	1400.0	0.85	0.15
0.0008685113737513538	1400.0	0.85	0.15
0.0005963623316594649	1400.0	0.85	0.15
0.00040949150623804275	1400.0	0.85	0.15
0.0002811768697974231	1400.0	0.85	0.15
0.00019306977288832537	1400.0	0.85	0.15
0.0001325711365590111	1400.0	0.85	0.15
9.102981779915228e-05	1400.0	0.85	0.15
6.250551925273976e-05	1400.0	0.85	0.15
4.291934260128787e-05	1400.0	0.85	0.15
2.9470517025518157e-05	1400.0	0.85	0.15
2.0235896477251596e-05	1400.0	0.85	0.15
1.3894954943731388e-05	1400.0	0.85	0.15
9.540954763499944e-06	1400.0	0.85	0.15
6.551285568595522e-06	1400.0	0.85	0.15
4.498432668969453e-06	1400.0	0.85	0.15
3.088843596477485e-06	1400.0	0.85	0.15
2.1209508879201924e-06	1400.0	0.85	0.15
1.4563484775012444e-06	1400.0	0.85	0.15
1e-06	1400.0	0.85	0.15
